n_triangles,chromatic_number,max_deg,class
1594,22,24,1
599,12,18,0
1986,22,24,1
360,11,15,0
2300,25,24,1
877,17,20,0
2300,25,24,1
723,15,19,0
1799,23,23,1
514,13,19,0
1586,21,24,1
838,17,20,0
2024,24,23,1
583,16,16,0
1383,19,24,1
486,13,16,0
1606,22,22,1
481,12,18,0
2300,25,24,1
599,16,17,0
1775,23,24,1
159,10,13,0
1543,21,24,1
373,11,15,0
2039,24,24,1
987,17,20,0
2052,24,24,1
857,16,19,0
1720,22,24,1
426,13,17,0
2030,24,24,1
499,14,17,0
1706,21,23,1
656,13,19,0
1793,23,24,1
853,15,20,0
2113,23,24,1
625,13,18,0
1666,22,24,1
449,13,15,0
1945,23,24,1
654,16,18,0
2039,24,24,1
896,14,22,0
1672,20,24,1
368,12,16,0
2300,25,24,1
594,14,18,0
1416,21,23,1
470,13,18,0
1549,21,23,1
694,15,19,0
1807,23,23,1
660,15,18,0
1786,22,24,1
949,17,19,0
2039,24,24,1
528,12,19,0
2234,24,24,1
559,15,17,0
1626,20,23,1
769,17,18,0
1427,21,23,1
1018,19,20,0
1562,21,24,1
438,14,17,0
2025,24,24,1
474,11,19,0
2234,24,24,1
442,12,16,0
1577,22,23,1
770,15,19,0
1577,22,23,1
445,13,17,0
1894,23,24,1
523,13,17,0
1781,23,23,1
751,15,20,0
2027,24,24,1
792,15,19,0
1555,21,24,1
483,13,16,0
1991,23,24,1
467,12,17,0
1873,23,24,1
486,12,18,0
1386,20,23,1
959,17,22,0
1662,22,23,1
497,13,17,0
1489,21,23,1
571,13,18,0
1585,21,23,1
1083,17,22,0
1816,22,24,1
246,11,14,0
1451,21,21,1
307,12,13,0
1712,22,23,1
926,18,18,0
1404,20,24,1
823,16,18,0
1987,22,24,1
934,16,20,0
1442,20,22,1
595,14,19,0
2069,24,24,1
1054,18,22,0
2090,24,24,1
691,15,18,0
1372,20,23,1
622,15,17,0
1207,20,21,1
408,12,17,0
1633,22,23,1
567,13,18,0
2047,23,24,1
533,14,18,0
1688,22,23,1
677,14,20,0
2045,24,24,1
476,11,18,0
1166,20,21,1
534,12,20,0
1679,22,24,1
569,15,19,0
1990,23,24,1
699,15,20,0
1685,22,24,1
1215,20,22,0
2214,24,24,1
939,16,21,0
2129,24,24,1
414,10,17,0
2060,22,24,1
603,14,20,0
1881,23,24,1
562,15,16,0
1515,20,24,1
774,15,21,0
1521,20,24,1
567,15,17,0
1153,19,22,1
805,16,19,0
1534,20,24,1
582,15,18,0
1867,22,24,1
342,11,15,0
1706,22,24,1
688,17,17,0
1851,22,24,1
735,15,18,0
1664,22,24,1
332,11,15,0
1822,22,24,1
797,16,19,0
1457,20,22,1
910,16,20,0
1427,20,24,1
582,14,20,0
2177,24,24,1
584,14,19,0
2107,23,24,1
927,17,21,0
1244,20,23,1
858,16,21,0
1601,22,24,1
774,17,17,0
1049,17,23,1
540,12,20,0
2144,24,24,1
339,12,15,0
1946,21,24,1
268,11,14,0
2300,25,24,1
334,11,17,0
1917,23,24,1
363,11,16,0
2171,23,24,1
691,16,18,0
1795,23,24,1
666,16,16,0
2030,24,24,1
476,11,18,0
1891,23,23,1
660,15,18,0
1708,20,23,1
882,16,20,0
1929,22,24,1
428,13,18,0
2024,24,23,1
876,17,20,0
1952,23,24,1
754,16,19,0
1507,21,23,1
1241,20,21,0
1466,19,23,1
255,9,13,0
1774,23,23,1
641,15,18,0
1599,21,23,1
584,15,19,0
1408,20,23,1
1026,18,19,0
1436,19,23,1
428,12,18,0
1746,21,23,1
618,16,18,0
1501,19,24,1
497,14,17,0
2107,23,24,1
426,13,15,0
2102,24,24,1
726,15,20,0
2039,24,24,1
677,14,20,0
1478,19,24,1
768,16,19,0
2177,24,24,1
645,16,17,0
1827,23,24,1
378,12,16,0
1777,23,24,1
413,12,15,0
1676,22,24,1
1225,18,20,0
2090,24,24,1
569,13,17,0
1800,23,24,1
771,16,18,0
1496,21,23,1
358,12,15,0
1596,22,24,1
364,13,14,0
1719,22,24,1
458,14,14,0
2019,22,24,1
1148,18,22,0
2024,24,23,1
409,11,16,0
1603,21,24,1
722,17,18,0
1969,22,24,1
1065,17,20,0
1725,21,24,1
313,11,16,0
1693,22,22,1
375,12,17,0
2045,24,24,1
326,12,13,0
2300,25,24,1
806,17,18,0
2034,24,24,1
776,16,18,0
2008,23,24,1
484,14,17,0
2300,25,24,1
955,17,20,0
2115,24,24,1
503,12,17,0
1796,21,24,1
255,9,14,0
1894,23,24,1
572,13,18,0
1420,20,23,1
922,16,22,0
1757,22,24,1
851,16,20,0
1698,22,24,1
533,14,18,0
1835,23,24,1
572,14,18,0
1576,22,22,1
418,13,17,0
1577,22,23,1
515,14,17,0
1410,21,23,1
770,16,19,0
1402,18,24,1
608,14,18,0
1734,20,24,1
932,17,19,0
2102,24,24,1
524,13,20,0
2177,24,24,1
776,17,19,0
1454,21,24,1
686,12,20,0
2144,24,24,1
975,18,19,0
1344,20,24,1
337,13,15,0
1695,21,23,1
660,15,20,0
1637,22,24,1
809,16,19,0
1807,23,24,1
555,15,17,0
2060,24,24,1
401,13,16,0
1456,20,24,1
838,13,21,0
1731,22,24,1
521,14,16,0
2039,24,24,1
1040,18,22,0
1796,21,24,1
902,18,20,0
1679,22,23,1
607,15,19,0
1943,23,24,1
652,15,19,0
1575,21,22,1
790,17,18,0
2062,23,24,1
763,15,19,0
1864,22,23,1
1043,18,21,0
1621,22,23,1
1195,18,20,0
1561,22,22,1
847,18,19,0
1781,22,24,1
1117,17,21,0
1807,23,24,1
524,14,16,0
2277,24,24,1
446,12,17,0
1538,20,24,1
727,12,21,0
1502,21,23,1
884,14,21,0
2300,25,24,1
630,12,20,0
2034,24,24,1
413,11,18,0
1953,23,24,1
592,13,19,0
1354,21,22,1
638,15,17,0
1826,23,23,1
372,11,16,0
1640,21,24,1
458,14,16,0
1552,21,23,1
646,14,19,0
1862,23,23,1
922,18,19,0
1910,23,24,1
639,14,18,0
2300,25,24,1
778,15,20,0
1571,21,24,1
639,15,17,0
2300,25,24,1
1432,20,22,0
1576,22,23,1
1039,18,21,0
2045,24,24,1
580,13,17,0
1837,23,24,1
496,14,18,0
2060,24,24,1
976,15,22,0
1679,22,23,1
418,14,15,0
1606,22,22,1
291,11,11,0
1508,21,23,1
757,14,19,0
1886,22,23,1
532,14,18,0
1506,20,24,1
673,15,18,0
1256,19,21,1
750,17,18,0
2234,24,24,1
612,15,17,0
1856,22,23,1
901,17,21,0
1704,22,24,1
1135,19,22,0
2024,24,24,1
1049,15,21,0
1892,22,24,1
434,11,17,0
1545,22,23,1
480,13,17,0
1601,21,24,1
1265,18,23,0
1957,23,24,1
463,14,15,0
1616,22,24,1
700,13,19,0
1876,23,23,1
1082,15,23,0
1927,23,24,1
577,14,17,0
1237,19,23,1
810,17,19,0
2144,24,24,1
857,16,20,0
1709,22,24,1
703,15,18,0
1637,22,23,1
642,14,19,0
1946,22,24,1
1205,18,22,0
1414,21,23,1
785,17,20,0
1554,21,23,1
768,16,18,0
2300,25,24,1
812,16,19,0
1935,21,24,1
540,13,16,0
1568,21,24,1
362,13,17,0
1849,23,23,1
763,17,18,0
1590,21,24,1
523,12,18,0
1577,20,23,1
518,12,17,0
1142,18,23,1
733,15,18,0
1562,21,24,1
653,12,20,0
2144,24,24,1
795,14,21,0
1675,21,23,1
479,15,16,0
1775,21,24,1
708,15,18,0
1646,22,22,1
342,11,15,0
1605,22,23,1
381,11,16,0
1876,23,23,1
753,16,18,0
1864,22,23,1
450,14,15,0
1616,22,23,1
743,16,18,0
1267,18,24,1
615,15,17,0
1488,20,24,1
611,15,16,0
1894,23,24,1
805,15,20,0
1650,21,24,1
938,18,19,0
1631,22,24,1
328,13,15,0
1960,23,24,1
426,12,17,0
1440,21,23,1
411,14,16,0
1521,21,24,1
769,15,20,0
2090,24,24,1
544,12,17,0
1544,19,24,1
415,13,17,0
1897,23,24,1
851,15,19,0
2024,24,23,1
753,15,19,0
2024,24,23,1
640,14,21,0
1696,21,24,1
336,11,16,0
1435,19,23,1
879,16,19,0
1836,23,24,1
1090,18,20,0
2052,24,24,1
706,14,19,0
2132,23,24,1
743,15,19,0
1837,23,23,1
580,13,19,0
1913,23,24,1
649,13,19,0
2024,24,23,1
579,15,17,0
1532,21,24,1
537,14,18,0
1513,21,23,1
518,14,18,0
2009,23,24,1
599,14,17,0
2030,24,24,1
418,10,18,0
1690,22,24,1
750,16,18,0
1400,20,23,1
513,14,16,0
1989,23,24,1
415,12,17,0
2129,24,24,1
445,11,18,0
2102,24,24,1
708,14,19,0
1667,22,23,1
1116,17,21,0
1608,21,24,1
1116,19,21,0
1362,21,22,1
498,13,16,0
953,16,23,1
324,11,14,0
1588,20,24,1
790,17,17,0
1868,23,24,1
477,13,16,0
1684,22,23,1
885,17,19,0
2090,24,24,1
670,16,18,0
1861,23,24,1
913,17,20,0
1240,19,23,1
956,18,20,0
1949,22,24,1
736,15,18,0
1807,23,23,1
437,12,18,0
2024,24,23,1
506,12,18,0
1907,22,24,1
927,17,22,0
1488,21,24,1
851,16,19,0
1712,22,23,1
618,13,19,0
1703,22,23,1
314,11,14,0
2045,24,24,1
629,14,19,0
1760,22,23,1
462,12,17,0
2023,23,24,1
1178,18,22,0
1802,22,24,1
367,11,15,0
2045,24,24,1
574,14,17,0
2255,24,24,1
604,16,19,0
1877,23,24,1
430,12,16,0
1862,23,24,1
507,14,16,0
2002,23,24,1
639,15,19,0
2024,24,23,1
915,16,22,0
1477,21,23,1
674,16,17,0
1683,22,23,1
579,16,16,0
1809,23,24,1
883,16,20,0
2095,23,24,1
695,15,18,0
2024,24,23,1
1196,19,20,0
1820,22,24,1
1064,16,23,0
2045,24,24,1
354,13,16,0
2234,24,24,1
758,15,22,0
1498,21,24,1
709,14,18,0
1026,19,21,1
704,13,20,0
1727,22,24,1
691,15,18,0
1781,22,23,1
722,15,18,0
899,18,22,1
527,14,17,0
1783,22,24,1
444,12,17,0
1466,19,24,1
979,17,20,0
1371,21,22,1
638,14,17,0
2300,25,24,1
521,13,18,0
1679,21,23,1
681,14,19,0
1156,19,23,1
1540,20,23,0
1655,22,23,1
1012,18,21,0
2144,24,24,1
568,14,17,0
1780,23,24,1
393,11,16,0
1961,23,23,1
832,16,20,0
1908,23,24,1
752,13,21,0
1397,21,24,1
999,17,21,0
1203,19,21,1
522,13,18,0
1910,23,24,1
447,11,17,0
1525,21,24,1
844,16,20,0
1829,23,24,1
665,14,18,0
1775,22,24,1
380,12,15,0
1611,22,23,1
788,15,19,0
1826,23,23,1
480,14,15,0
1375,20,24,1
392,12,16,0
2030,23,24,1
606,14,18,0
2114,23,24,1
797,15,20,0
1443,21,24,1
644,14,18,0
1721,21,24,1
618,13,18,0
2079,24,24,1
1412,21,22,0
1909,22,24,1
348,12,16,0
1625,21,23,1
923,14,22,0
1637,22,24,1
299,12,13,0
2045,24,24,1
580,14,16,0
1311,19,23,1
632,16,16,0
1336,20,23,1
338,13,14,0
1813,22,24,1
676,13,19,0
1886,23,24,1
288,12,15,0
1575,22,24,1
686,13,20,0
1926,22,24,1
785,15,19,0
1678,22,24,1
197,10,13,0
1712,21,23,1
1150,18,20,0
1863,21,24,1
702,14,19,0
1891,23,23,1
585,15,17,0
2002,23,23,1
521,13,17,0
1662,22,23,1
599,15,18,0
2023,23,24,1
688,16,18,0
1533,20,23,1
678,15,19,0
1695,21,24,1
833,14,21,0
2024,24,23,1
813,14,20,0
1562,22,23,1
1063,17,22,0
1871,23,24,1
928,16,19,0
1721,21,24,1
538,15,17,0
1862,23,24,1
1069,17,21,0
2081,23,24,1
890,17,20,0
1804,22,24,1
491,11,17,0
2030,24,24,1
618,12,20,0
978,15,23,1
681,14,19,0
2024,24,23,1
716,15,20,0
1786,23,23,1
879,15,21,0
1781,23,23,1
236,10,15,0
1822,23,24,1
558,14,18,0
1996,23,24,1
1212,17,22,0
1814,22,23,1
756,16,18,0
1592,21,24,1
375,13,15,0
1971,23,24,1
685,15,19,0
1340,20,24,1
719,17,19,0
1577,20,23,1
778,15,20,0
1886,23,24,1
966,17,19,0
1852,23,24,1
475,12,18,0
1274,19,24,1
1243,20,21,0
1858,21,24,1
496,14,17,0
1584,22,24,1
434,14,17,0
2300,25,24,1
722,14,20,0
1579,22,23,1
651,14,18,0
1634,22,23,1
706,14,19,0
1982,22,24,1
351,12,16,0
2024,24,23,1
572,14,19,0
1858,21,24,1
827,16,20,0
1681,21,23,1
757,15,21,0
1494,21,24,1
233,9,13,0
1621,22,23,1
309,11,15,0
2027,23,24,1
1127,18,21,0
1185,19,24,1
632,14,20,0
1631,22,22,1
832,17,19,0
1916,22,24,1
589,13,17,0
1731,21,23,1
276,12,13,0
1349,20,23,1
836,17,19,0
2052,24,24,1
466,15,16,0
1826,23,23,1
1161,18,21,0
1853,22,24,1
204,10,13,0
1297,19,23,1
484,12,18,0
2115,24,24,1
695,13,20,0
2212,23,24,1
750,16,22,0
1759,22,23,1
609,12,20,0
1804,22,24,1
591,14,17,0
1793,21,24,1
734,16,19,0
2277,24,24,1
406,12,17,0
1924,23,23,1
237,9,13,0
1661,22,22,1
708,14,20,0
1650,21,24,1
823,14,20,0
1583,22,23,1
695,15,19,0
1982,23,24,1
342,13,14,0
2030,24,24,1
522,12,19,0
1341,19,22,1
891,16,20,0
1924,23,23,1
398,12,16,0
1774,23,23,1
438,13,17,0
1727,22,23,1
424,12,15,0
2212,23,24,1
1148,18,22,0
1802,23,24,1
649,15,17,0
1987,23,24,1
406,12,17,0
2039,24,24,1
938,16,20,0
1576,20,23,1
523,15,18,0
2030,24,24,1
815,15,19,0
1684,22,23,1
552,14,17,0
1658,21,23,1
343,13,14,0
1645,22,22,1
424,12,17,0
1771,22,23,1
457,12,17,0
2034,24,24,1
814,14,21,0
1462,19,24,1
889,16,20,0
1637,22,24,1
536,14,18,0
1732,21,24,1
274,11,13,0
1919,23,24,1
599,13,18,0
1571,21,23,1
1331,21,21,0
2027,24,24,1
738,15,19,0
2160,24,24,1
471,14,17,0
1717,22,24,1
574,15,16,0
1284,19,22,1
437,14,15,0
1209,19,24,1
644,15,18,0
1781,23,23,1
353,11,16,0
1973,23,24,1
811,16,21,0
1719,22,24,1
479,14,16,0
2300,25,24,1
1049,16,21,0
1541,22,22,1
1305,20,22,0
1962,23,24,1
402,13,18,0
1660,22,23,1
680,14,19,0
2102,24,24,1
708,17,20,0
1705,22,23,1
628,16,19,0
1553,20,23,1
681,14,19,0
1257,19,23,1
814,16,22,0
2090,24,24,1
418,12,17,0
1924,23,23,1
583,13,18,0
2097,23,24,1
442,11,16,0
1756,22,23,1
475,11,19,0
1262,20,24,1
227,10,13,0
1601,22,24,1
893,17,19,0
1632,22,22,1
626,16,17,0
1662,20,24,1
856,17,22,0
2068,23,24,1
521,14,18,0
2134,23,24,1
454,13,15,0
1906,23,24,1
449,11,16,0
1881,23,24,1
1529,21,24,0
2255,24,24,1
944,18,21,0
2024,24,24,1
713,14,19,0
2300,25,24,1
422,12,18,0
1742,22,23,1
843,16,19,0
1680,22,24,1
687,13,22,0
2160,24,24,1
1087,18,21,0
2160,24,24,1
1179,18,21,0
1175,18,24,1
629,14,18,0
2027,24,24,1
598,15,18,0
2024,24,23,1
828,14,21,0
1582,22,23,1
523,13,16,0
1453,20,23,1
471,12,19,0
1849,23,23,1
902,17,20,0
1785,22,24,1
330,11,15,0
2234,24,24,1
438,13,18,0
1885,23,24,1
661,14,19,0
1721,21,24,1
1528,18,24,0
2160,24,24,1
604,14,19,0
1826,23,23,1
1279,19,21,0
2024,24,23,1
799,15,18,0
2144,24,24,1
680,15,18,0
1892,22,24,1
400,12,15,0
1901,21,24,1
683,16,17,0
2047,23,24,1
242,11,13,0
2300,25,24,1
1066,18,20,0
2044,23,24,1
592,15,17,0
1837,23,24,1
319,11,16,0
1574,21,23,1
203,11,14,0
1798,22,23,1
322,12,15,0
2300,25,24,1
1186,19,20,0
1595,22,22,1
1080,19,20,0
2214,24,24,1
652,15,18,0
1694,21,23,1
625,15,19,0
1665,22,24,1
642,13,19,0
2008,23,24,1
572,15,18,0
1475,20,24,1
690,13,21,0
1935,23,24,1
515,13,18,0
1942,23,23,1
495,12,18,0
1263,20,23,1
693,14,20,0
1952,23,24,1
957,17,19,0
1718,21,24,1
502,15,15,0
1567,21,23,1
504,15,16,0
1706,22,24,1
687,17,16,0
1519,19,24,1
850,15,19,0
2024,24,23,1
545,14,19,0
1520,21,23,1
805,15,20,0
1025,19,22,1
829,15,20,0
1232,19,23,1
366,12,15,0
1348,21,24,1
624,15,19,0
2024,24,24,1
396,12,16,0
2038,23,24,1
890,16,19,0
1595,22,22,1
765,16,18,0
1675,22,24,1
253,10,16,0
1732,22,24,1
799,16,19,0
1743,21,24,1
524,14,17,0
2034,24,24,1
1055,17,21,0
1604,20,24,1
639,15,18,0
2300,25,24,1
1330,19,22,0
1981,23,23,1
770,17,19,0
2134,23,24,1
509,13,18,0
1544,22,22,1
337,12,13,0
1969,23,24,1
535,14,17,0
1501,21,24,1
1165,19,21,0
1441,20,24,1
876,16,19,0
1706,22,24,1
408,13,17,0
1987,23,24,1
1141,20,19,0
2152,23,24,1
454,12,16,0
1754,22,24,1
707,14,19,0
2214,24,24,1
528,15,17,0
1849,23,23,1
513,13,18,0
1822,23,24,1
1092,18,20,0
1466,20,24,1
1194,17,21,0
1685,22,23,1
655,13,19,0
1962,21,24,1
405,13,15,0
2255,24,24,1
521,14,16,0
1450,20,24,1
793,17,20,0
1989,23,24,1
729,15,18,0
1862,23,23,1
750,16,18,0
2151,23,24,1
780,15,19,0
2025,24,24,1
673,14,18,0
1740,21,23,1
526,13,17,0
1892,22,24,1
830,18,19,0
1436,21,24,1
582,13,18,0
1718,22,24,1
480,15,15,0
1570,22,24,1
1163,18,22,0
2066,23,24,1
475,12,17,0
1910,23,24,1
609,15,18,0
2177,24,24,1
388,12,16,0
2029,23,24,1
523,12,18,0
1523,20,23,1
662,15,21,0
1571,22,24,1
1062,17,20,0
1829,22,24,1
387,13,13,0
1953,23,24,1
490,14,16,0
1619,21,24,1
429,13,17,0
948,18,22,1
575,16,17,0
1428,20,24,1
586,16,16,0
1877,23,24,1
308,11,15,0
2034,24,24,1
509,13,18,0
1957,23,24,1
705,13,19,0
2097,23,24,1
455,12,16,0
2195,24,24,1
606,16,17,0
1716,22,24,1
625,13,18,0
2300,25,24,1
287,10,14,0
2024,24,23,1
918,17,20,0
1414,19,24,1
448,12,16,0
1904,23,24,1
358,12,15,0
1891,23,23,1
493,14,17,0
2102,24,24,1
793,16,20,0
1910,23,24,1
492,13,17,0
1709,22,23,1
1238,19,21,0
2002,23,24,1
380,12,15,0
2060,24,24,1
336,12,15,0
2045,24,24,1
384,11,14,0
1829,23,24,1
594,13,18,0
1592,22,23,1
363,12,15,0
1367,20,23,1
507,13,18,0
2144,24,24,1
868,16,19,0
1721,21,24,1
369,13,14,0
2300,25,24,1
1172,17,22,0
1416,20,23,1
505,14,16,0
1898,23,24,1
587,14,19,0
1369,21,23,1
885,15,22,0
1990,23,24,1
1511,21,22,0
2002,23,23,1
887,16,20,0
1837,23,23,1
854,16,21,0
2039,23,24,1
659,14,20,0
2030,24,24,1
577,14,17,0
1114,19,21,1
791,15,21,0
1978,23,24,1
548,14,18,0
1384,21,23,1
398,12,17,0
1463,19,23,1
651,15,18,0
2160,24,24,1
642,13,20,0
1292,20,23,1
635,15,20,0
2036,22,24,1
588,14,18,0
2151,23,24,1
628,15,18,0
1883,23,24,1
604,14,19,0
2234,24,24,1
233,11,11,0
1868,23,24,1
655,15,19,0
2012,23,24,1
1189,20,21,0
2025,24,24,1
745,15,20,0
2300,25,24,1
501,14,15,0
1287,19,23,1
627,15,18,0
1817,21,24,1
932,15,20,0
1712,22,23,1
1426,20,22,0
1973,23,24,1
530,15,18,0
2177,24,24,1
332,12,14,0
1664,22,23,1
498,15,15,0
1696,22,23,1
376,13,15,0
2024,24,23,1
780,15,20,0
1673,22,24,1
481,12,18,0
2255,24,24,1
699,15,19,0
1526,21,22,1
546,14,17,0
1453,21,24,1
736,16,20,0
2195,24,24,1
621,13,18,0
