n_triangles,chromatic_number,max_deg,class
39909,54,73,0
125230,85,99,1
41041,48,76,0
134945,90,98,1
70397,63,85,0
130504,90,98,1
41989,53,74,0
136630,92,97,1
59665,65,78,0
136039,91,98,1
52930,57,82,0
128949,92,95,1
45042,56,79,0
145241,95,98,1
32574,53,68,0
140305,95,99,1
54502,61,81,0
109845,83,95,1
34666,51,70,0
124540,87,97,1
47297,57,76,0
115459,86,97,1
37946,50,72,0
124113,87,97,1
51744,55,82,0
126400,87,98,1
56669,62,82,0
129638,89,99,1
43592,58,72,0
134528,91,99,1
36519,48,73,0
118360,84,97,1
50379,56,78,0
138455,94,96,1
46160,54,79,0
130455,89,98,1
58954,61,81,0
123379,89,98,1
43257,55,74,0
110215,79,97,1
40126,49,74,0
129330,90,98,1
45863,55,76,0
126600,88,98,1
49143,56,76,0
113100,87,93,1
50187,53,79,0
125495,90,97,1
37137,51,72,0
123566,87,96,1
51813,60,80,0
119649,84,97,1
38884,53,69,0
134856,90,99,1
65772,64,81,0
129330,89,99,1
34178,42,72,0
148523,92,99,1
41192,48,75,0
129100,90,98,1
37275,43,75,0
127788,90,98,1
58655,62,84,0
123794,88,98,1
46105,55,76,0
137312,93,97,1
49852,63,75,0
136693,90,97,1
43020,52,79,0
118847,87,97,1
38665,51,71,0
134287,88,97,1
56892,59,80,0
145968,95,99,1
31610,52,69,0
127249,86,99,1
57266,62,78,0
136376,92,99,1
58203,59,83,0
120946,88,96,1
39950,57,72,0
138975,90,99,1
31089,52,68,0
126403,86,98,1
52541,53,78,0
136456,93,99,1
44790,55,77,0
121655,87,99,1
46529,54,75,0
123349,88,99,1
61002,61,82,0
120168,87,98,1
35383,48,69,0
142869,93,99,1
54448,61,76,0
118193,86,99,1
61782,65,80,0
147806,93,99,1
55467,65,79,0
140538,93,98,1
36084,54,68,0
105756,82,95,1
49666,58,79,0
141541,93,99,1
61634,59,81,0
124355,89,97,1
58555,58,86,0
136955,90,99,1
49981,57,77,0
134730,92,96,1
46296,52,79,0
123504,88,98,1
42187,50,72,0
121992,87,96,1
62472,64,80,0
142243,92,99,1
47329,58,75,0
129062,89,97,1
53987,65,80,0
134111,92,98,1
53726,53,82,0
104907,83,97,1
40971,54,75,0
127550,89,97,1
40613,54,74,0
126327,85,99,1
43294,51,77,0
127605,90,95,1
39391,54,71,0
122340,88,97,1
47339,56,79,0
130259,89,97,1
45506,53,74,0
133538,91,99,1
45175,53,73,0
126056,87,98,1
34119,50,72,0
123460,87,97,1
50729,56,78,0
116198,88,98,1
65239,67,84,0
125418,86,97,1
46084,56,74,0
137013,92,97,1
40392,53,72,0
131956,89,99,1
58885,61,82,0
134958,89,98,1
40001,52,75,0
142283,94,98,1
35768,45,71,0
109569,80,98,1
44585,54,75,0
131482,92,97,1
49362,58,78,0
132789,90,99,1
62021,59,82,0
131528,91,99,1
33416,46,72,0
139581,92,99,1
48170,56,75,0
114338,87,94,1
49030,53,77,0
128573,89,98,1
47483,56,77,0
117934,84,98,1
53240,57,78,0
109029,82,96,1
37557,54,69,0
135528,91,99,1
43685,55,78,0
125556,89,99,1
48605,59,74,0
132943,91,98,1
35532,50,70,0
119368,84,96,1
54729,58,83,0
129132,88,97,1
39758,50,75,0
122637,88,99,1
41735,56,74,0
114810,85,96,1
43624,54,78,0
115769,85,99,1
42647,55,80,0
123916,90,98,1
37888,48,68,0
123656,88,99,1
57417,62,81,0
120191,87,94,1
38980,51,72,0
122038,88,96,1
45199,51,77,0
140076,94,99,1
43071,55,75,0
114419,88,94,1
44236,56,75,0
112856,83,97,1
43067,57,77,0
123013,88,98,1
46190,52,74,0
125807,91,97,1
46941,53,76,0
115266,81,98,1
51904,55,79,0
122055,87,99,1
49134,57,79,0
118120,88,97,1
60368,56,81,0
131205,91,99,1
40982,56,75,0
140346,92,99,1
32757,49,69,0
123829,90,97,1
55675,62,78,0
130761,87,98,1
80704,69,89,0
112389,83,99,1
42830,57,74,0
117041,86,99,1
49349,56,79,0
112722,85,97,1
36494,48,71,0
117452,85,96,1
64295,64,86,0
129109,92,96,1
50265,61,77,0
114067,86,96,1
52657,56,78,0
119887,86,98,1
45014,52,76,0
121730,86,99,1
49209,59,75,0
123298,90,96,1
50831,58,75,0
109776,83,96,1
59667,60,82,0
131619,90,98,1
60553,59,81,0
134489,90,99,1
29967,49,70,0
125039,88,97,1
50730,57,77,0
129861,92,98,1
48239,58,76,0
116182,87,96,1
53955,61,80,0
127697,90,99,1
56738,61,81,0
135179,91,98,1
52836,59,78,0
127946,86,99,1
45968,57,76,0
136495,91,99,1
54419,57,81,0
134627,92,98,1
50812,58,74,0
133090,88,99,1
42461,54,74,0
117206,87,98,1
45521,52,79,0
148437,92,99,1
41048,48,78,0
127741,89,97,1
46441,57,77,0
131966,90,99,1
37275,53,70,0
120413,85,98,1
37774,49,76,0
113622,83,98,1
42653,56,70,0
122772,87,98,1
52411,60,75,0
145470,92,99,1
36936,51,76,0
136616,93,97,1
42628,53,72,0
129169,90,96,1
45721,53,76,0
116657,82,95,1
51511,53,81,0
138142,94,97,1
47987,53,81,0
139524,92,99,1
45042,54,76,0
125413,89,99,1
55595,58,77,0
117488,86,98,1
60591,65,77,0
115634,86,98,1
45229,59,78,0
125352,90,98,1
30749,49,67,0
136229,94,97,1
45425,52,79,0
130955,92,98,1
56016,59,82,0
123171,85,97,1
40563,52,74,0
132373,90,98,1
60546,60,82,0
124527,88,99,1
44316,57,72,0
126889,90,98,1
42989,56,75,0
118715,86,98,1
63358,58,86,0
126770,90,98,1
33297,47,67,0
126463,90,97,1
35780,53,68,0
130630,89,98,1
46795,53,73,0
144803,93,99,1
53691,55,78,0
121351,88,98,1
34037,50,67,0
127614,84,98,1
68500,64,84,0
128460,91,96,1
46980,52,77,0
123950,88,97,1
43711,55,74,0
120505,87,98,1
55147,59,83,0
139494,93,98,1
37399,51,70,0
143708,94,98,1
47828,59,73,0
143619,91,99,1
51870,59,80,0
130211,89,98,1
41315,60,71,0
130607,91,99,1
42860,56,73,0
123095,88,98,1
50014,53,80,0
127790,91,96,1
54606,64,79,0
126989,89,97,1
46662,57,74,0
117109,85,98,1
52860,54,79,0
138033,91,98,1
53048,59,84,0
136152,90,99,1
64562,63,83,0
142320,93,98,1
43905,57,71,0
132189,91,99,1
36157,49,73,0
133979,91,98,1
61905,63,79,0
121543,87,97,1
54372,59,80,0
141578,93,99,1
42396,54,74,0
128170,83,98,1
38461,51,72,0
134852,89,98,1
41571,53,75,0
124595,88,99,1
40929,51,74,0
106444,84,94,1
54352,57,81,0
117692,85,99,1
44445,52,76,0
135278,93,98,1
42258,53,80,0
120833,84,99,1
35121,48,68,0
142598,95,99,1
54677,61,84,0
124202,89,97,1
46942,56,77,0
132605,91,99,1
48571,55,76,0
131688,91,98,1
37663,50,74,0
134205,93,97,1
46537,60,74,0
111722,84,96,1
50360,52,79,0
134980,90,99,1
60286,61,79,0
132270,90,97,1
43106,52,74,0
131509,91,97,1
37351,49,73,0
118975,85,98,1
50684,58,77,0
120916,87,98,1
38120,53,71,0
130941,90,98,1
41336,55,74,0
138957,91,98,1
45140,57,72,0
109196,85,96,1
40984,54,73,0
124868,88,98,1
49310,53,79,0
134108,92,99,1
45324,49,74,0
129235,89,98,1
54378,59,82,0
126474,89,99,1
58215,59,83,0
127427,90,97,1
52671,57,78,0
121213,87,98,1
66347,59,84,0
122686,89,97,1
48664,58,77,0
133447,89,98,1
48900,56,74,0
143836,94,98,1
46692,54,72,0
131208,89,97,1
49784,58,78,0
114750,85,97,1
48961,49,80,0
136909,91,99,1
42499,56,76,0
135825,91,97,1
40488,52,73,0
123624,89,96,1
67202,62,84,0
134629,90,99,1
31705,50,67,0
134064,91,99,1
48302,57,75,0
125419,89,98,1
45924,54,77,0
114210,84,95,1
51743,57,78,0
130670,92,96,1
39589,53,74,0
118668,88,97,1
49072,55,77,0
127518,90,97,1
38236,53,68,0
114397,83,96,1
41150,49,73,0
105922,82,97,1
55918,61,79,0
133643,91,99,1
50810,49,79,0
127888,90,97,1
48155,51,78,0
142043,92,99,1
50461,56,79,0
129690,91,97,1
40714,54,71,0
115540,86,98,1
45169,51,79,0
113942,86,98,1
50896,58,76,0
140142,92,99,1
49685,54,80,0
113417,85,97,1
48727,59,79,0
119522,88,95,1
41852,55,74,0
121829,87,97,1
43618,53,77,0
124551,88,98,1
60742,64,80,0
130117,88,97,1
46236,55,77,0
110615,84,96,1
50705,58,78,0
113494,87,97,1
54933,64,76,0
124936,90,97,1
39162,51,71,0
124605,87,96,1
53006,59,79,0
128608,90,98,1
63316,59,86,0
134403,88,99,1
46661,58,74,0
143570,95,99,1
41365,52,73,0
134355,92,97,1
39384,51,74,0
135240,92,98,1
56896,62,81,0
120712,89,98,1
41142,53,76,0
123143,86,99,1
41618,54,73,0
130924,91,97,1
35358,51,71,0
142481,92,98,1
49957,56,78,0
122837,86,97,1
50682,57,76,0
121237,87,97,1
46014,51,76,0
112020,81,98,1
56731,60,78,0
130353,88,96,1
47959,55,77,0
118233,86,98,1
51827,57,79,0
112292,87,98,1
59662,63,80,0
137527,92,98,1
49145,59,76,0
122310,86,98,1
54394,61,80,0
113612,82,97,1
38618,49,74,0
111957,84,95,1
60136,58,84,0
117779,86,97,1
55375,55,81,0
130960,90,99,1
40533,53,74,0
112582,87,97,1
50496,53,76,0
138302,92,99,1
42360,53,80,0
113271,85,98,1
43095,52,72,0
120079,87,95,1
50115,54,78,0
134740,88,98,1
54233,61,80,0
133226,90,99,1
52993,52,79,0
122677,89,96,1
40711,53,73,0
144380,94,99,1
62082,66,82,0
128734,91,97,1
48009,62,75,0
137181,93,99,1
31707,46,69,0
110015,83,97,1
56573,60,84,0
121589,85,97,1
43296,57,70,0
130746,90,98,1
46601,59,78,0
141822,94,99,1
62489,61,82,0
131244,89,97,1
47679,57,73,0
133939,90,99,1
50521,57,75,0
137954,91,99,1
55932,59,83,0
113807,85,97,1
53722,58,77,0
119506,84,98,1
38494,54,74,0
111260,81,96,1
51658,60,80,0
133541,91,97,1
43966,55,71,0
127582,88,98,1
45231,58,71,0
123387,89,97,1
43839,54,78,0
132077,90,98,1
42080,53,76,0
122506,88,99,1
71339,67,88,0
123758,86,98,1
45671,56,75,0
98549,79,96,1
46142,52,75,0
139130,93,98,1
55398,60,82,0
128353,87,98,1
50675,61,80,0
123299,85,98,1
62585,64,82,0
130347,90,97,1
52253,59,78,0
125473,88,98,1
47500,54,78,0
145895,94,98,1
57801,59,80,0
137253,91,99,1
40208,56,72,0
119761,86,97,1
48928,57,82,0
142052,93,99,1
61452,63,81,0
128020,91,99,1
46344,53,80,0
122935,89,97,1
45660,54,74,0
133093,93,98,1
58189,55,84,0
144162,94,98,1
44518,52,75,0
119514,87,96,1
60769,60,82,0
128891,91,98,1
50131,61,77,0
140872,94,99,1
44504,51,80,0
130601,90,99,1
37298,50,70,0
112565,82,96,1
57567,61,79,0
118502,88,96,1
50485,60,74,0
130476,91,97,1
43109,53,75,0
121152,87,98,1
46596,60,72,0
128594,88,99,1
42100,50,73,0
133132,92,99,1
59840,61,80,0
122500,87,99,1
45553,55,77,0
127209,89,97,1
43769,55,78,0
136896,91,99,1
40303,52,71,0
121836,88,98,1
70861,65,83,0
117216,85,98,1
30613,46,66,0
119569,88,95,1
52470,58,78,0
122918,87,96,1
42804,49,75,0
120815,88,97,1
65474,65,80,0
101277,83,96,1
41013,52,71,0
98384,82,97,1
47114,52,75,0
140369,92,99,1
49158,54,78,0
131190,91,98,1
50018,53,79,0
112691,86,98,1
59050,60,83,0
140339,92,99,1
58665,61,78,0
116553,86,99,1
50882,58,81,0
109247,83,97,1
48467,54,76,0
122460,83,98,1
42573,49,75,0
116595,87,96,1
47811,52,76,0
107597,84,97,1
49233,57,79,0
123025,87,97,1
46254,50,77,0
124147,86,96,1
42447,51,75,0
131289,88,99,1
41771,52,74,0
124144,89,97,1
49735,57,78,0
135741,91,98,1
55289,58,75,0
131831,91,98,1
53301,53,78,0
124266,90,97,1
38948,51,72,0
117771,89,95,1
48448,54,76,0
115518,85,96,1
49284,52,76,0
135677,92,97,1
46326,56,73,0
120502,87,98,1
58872,61,81,0
144072,96,98,1
71535,65,84,0
128047,87,97,1
43452,47,76,0
121322,89,98,1
38806,49,74,0
122128,89,96,1
42374,54,76,0
124944,88,97,1
54076,57,80,0
104739,81,97,1
41455,55,75,0
138006,93,98,1
42657,51,75,0
117572,86,98,1
42795,54,77,0
121667,88,97,1
53672,61,76,0
132605,89,99,1
49892,57,80,0
126220,91,97,1
50758,59,76,0
130912,89,97,1
38669,52,72,0
135390,89,99,1
43443,49,77,0
114646,84,96,1
45493,58,78,0
127519,89,97,1
29131,43,66,0
133658,89,99,1
45997,54,76,0
141523,91,99,1
41636,51,74,0
130570,90,97,1
48059,58,77,0
144834,93,98,1
45631,52,77,0
113209,85,97,1
48789,59,75,0
139884,94,99,1
43095,54,74,0
138149,92,98,1
45822,55,76,0
135354,93,98,1
59270,58,82,0
108515,82,94,1
48819,58,78,0
110920,81,95,1
55037,58,80,0
134865,92,98,1
56241,60,79,0
134364,88,98,1
56407,60,83,0
139913,93,98,1
49238,59,80,0
129801,90,99,1
29204,48,64,0
120358,85,98,1
38473,48,71,0
114150,86,98,1
43996,53,75,0
100179,83,97,1
48386,53,79,0
104153,83,96,1
48314,57,73,0
124169,85,98,1
54697,60,82,0
128606,91,99,1
49407,55,79,0
131598,91,99,1
39124,45,73,0
111164,87,97,1
28212,45,67,0
135874,87,99,1
49332,57,79,0
120416,84,99,1
45087,59,78,0
133118,92,98,1
57096,59,77,0
130834,91,97,1
55401,55,78,0
114075,86,95,1
49556,57,79,0
135477,87,99,1
44257,55,76,0
130792,88,97,1
45150,52,75,0
135485,92,98,1
46052,53,77,0
109376,84,97,1
38324,53,74,0
126995,91,96,1
38210,47,70,0
109968,84,96,1
58283,59,80,0
134993,90,98,1
39712,54,72,0
125795,87,98,1
47619,55,79,0
140480,92,99,1
36799,50,71,0
124636,86,97,1
66832,63,79,0
112152,83,96,1
56397,57,81,0
131329,92,98,1
46294,55,75,0
125036,85,99,1
56591,58,82,0
129901,89,97,1
45607,54,76,0
123188,90,96,1
44693,56,74,0
138031,90,98,1
41751,51,74,0
126213,89,97,1
42521,47,78,0
135284,91,98,1
40534,47,73,0
138907,91,99,1
61188,64,84,0
131033,91,99,1
52788,58,78,0
113530,86,97,1
60810,62,83,0
139328,92,99,1
42911,54,77,0
129063,90,99,1
63202,68,82,0
121170,87,97,1
34331,53,69,0
115291,83,97,1
51197,56,76,0
114798,85,96,1
40878,46,75,0
133267,91,98,1
40496,53,78,0
135425,90,99,1
37048,55,69,0
120298,87,99,1
54424,62,82,0
123349,88,98,1
47879,59,75,0
128016,89,98,1
48866,53,81,0
126297,87,97,1
49925,55,79,0
125773,89,97,1
53911,61,79,0
138579,91,98,1
43975,59,73,0
122465,88,98,1
51891,57,75,0
134315,90,97,1
45113,55,75,0
132652,91,98,1
48270,58,79,0
117175,88,97,1
45043,53,71,0
117396,86,99,1
39824,56,73,0
138952,93,98,1
38577,50,74,0
119938,88,97,1
34513,47,71,0
119504,86,97,1
40477,52,72,0
141089,91,99,1
45504,58,73,0
126859,87,97,1
44601,56,77,0
128536,90,98,1
47373,56,76,0
133461,90,99,1
39809,50,74,0
127791,90,99,1
36678,49,71,0
140466,94,97,1
45566,55,78,0
121160,88,97,1
46145,51,76,0
117405,88,98,1
51264,56,79,0
134138,91,99,1
40678,46,75,0
115620,87,98,1
54024,62,78,0
140392,90,98,1
50579,54,79,0
126484,88,98,1
41373,55,71,0
131832,92,97,1
59893,60,80,0
114736,87,97,1
51749,61,80,0
125164,89,99,1
47146,51,77,0
131121,91,99,1
50562,57,76,0
136531,92,98,1
47565,58,76,0
130000,87,98,1
59891,57,82,0
125051,84,99,1
47043,56,74,0
126562,87,99,1
29782,46,65,0
136982,92,97,1
36738,48,70,0
131281,89,96,1
48202,60,75,0
128949,90,97,1
36694,53,72,0
113851,84,97,1
39717,53,74,0
133332,91,98,1
48194,53,78,0
120508,87,98,1
37217,51,73,0
109867,85,93,1
70940,67,82,0
123313,88,97,1
45064,54,75,0
122823,87,99,1
40794,54,71,0
122801,89,98,1
52526,60,79,0
132136,90,98,1
34603,48,70,0
134283,91,99,1
46508,58,76,0
142281,92,99,1
44239,45,79,0
123213,85,97,1
41588,48,74,0
124099,89,97,1
46734,54,76,0
128344,89,97,1
53965,64,79,0
128000,86,97,1
44397,55,73,0
123627,87,97,1
50902,57,76,0
131624,87,99,1
40528,50,72,0
124421,84,98,1
51251,58,78,0
119385,88,98,1
43170,55,78,0
139054,94,98,1
36044,50,74,0
125758,90,97,1
51403,60,79,0
120206,85,98,1
60590,65,78,0
123287,89,98,1
49109,53,79,0
138323,92,97,1
49771,54,78,0
127952,87,99,1
42810,56,75,0
140440,93,99,1
47632,54,79,0
131904,91,95,1
71166,63,89,0
126845,90,97,1
49445,62,79,0
145049,94,99,1
39794,54,75,0
129490,90,98,1
40643,52,71,0
128276,90,98,1
37407,49,71,0
128811,86,99,1
42693,51,75,0
128375,89,97,1
54860,62,78,0
143388,94,98,1
45707,54,75,0
121640,90,96,1
45270,56,76,0
111554,82,99,1
53458,59,80,0
132962,90,98,1
56380,62,81,0
117413,84,96,1
43734,53,74,0
123340,86,99,1
31269,46,73,0
121198,85,98,1
50586,53,75,0
132536,91,97,1
43074,55,73,0
131477,90,98,1
43699,56,74,0
123921,89,97,1
52751,60,82,0
116414,88,98,1
44903,53,78,0
135705,89,98,1
47677,60,76,0
121293,86,97,1
52663,59,77,0
108596,82,98,1
43341,53,74,0
121258,85,97,1
40805,58,70,0
143636,92,99,1
47830,53,76,0
128121,87,98,1
43669,55,75,0
142982,90,99,1
39990,53,70,0
116074,84,98,1
45027,57,73,0
123669,89,97,1
50488,59,76,0
142261,91,99,1
41117,51,75,0
135208,93,97,1
53186,61,76,0
121408,89,98,1
50606,60,72,0
126278,88,99,1
34523,48,75,0
111689,83,97,1
40716,54,73,0
111744,79,96,1
41254,54,73,0
114247,88,95,1
59705,67,79,0
139398,94,98,1
45918,58,72,0
125011,90,99,1
44977,60,75,0
123914,90,93,1
30360,49,68,0
120335,86,98,1
46086,57,77,0
118440,86,98,1
34077,49,72,0
117287,87,97,1
35861,51,72,0
132865,91,99,1
62797,62,82,0
126900,91,98,1
42413,55,74,0
117331,86,97,1
38137,50,69,0
122876,85,98,1
43743,55,75,0
115786,86,97,1
42960,54,75,0
138901,91,99,1
47138,56,74,0
134336,90,97,1
57989,57,81,0
115097,86,98,1
37994,47,69,0
107537,82,99,1
37647,47,73,0
127092,88,99,1
39517,53,73,0
132949,90,98,1
44104,58,75,0
141180,94,97,1
42832,51,75,0
138196,91,98,1
42807,47,76,0
113449,85,97,1
36960,52,71,0
124881,85,99,1
54908,57,80,0
114454,85,98,1
40082,51,73,0
126488,89,95,1
44266,55,72,0
118942,87,99,1
44083,52,78,0
118786,88,98,1
56320,57,82,0
134377,92,97,1
39529,48,73,0
134619,91,97,1
42994,53,79,0
115739,85,97,1
46822,54,76,0
110832,86,97,1
55945,63,77,0
142848,93,98,1
35607,53,73,0
130780,89,99,1
55255,59,79,0
119912,87,97,1
55698,56,77,0
145355,93,99,1
49840,53,83,0
120218,88,97,1
61008,61,84,0
126320,86,97,1
40601,55,75,0
129782,89,97,1
49348,58,78,0
123880,84,99,1
57391,62,77,0
116551,84,96,1
45278,56,74,0
119301,86,99,1
41913,51,77,0
107187,83,98,1
41066,53,76,0
126107,89,99,1
36451,46,72,0
127594,89,97,1
35611,54,73,0
133977,92,98,1
44776,55,78,0
138534,91,98,1
53135,60,82,0
130483,89,98,1
38958,48,73,0
129380,90,98,1
55127,55,79,0
118903,88,97,1
53452,59,79,0
116807,88,98,1
42937,53,74,0
114324,86,98,1
39825,49,71,0
126804,90,97,1
45116,55,74,0
135753,92,98,1
62019,59,81,0
132670,92,99,1
37997,48,72,0
135346,92,99,1
43328,56,74,0
138748,92,98,1
50952,56,79,0
115132,86,98,1
40354,56,68,0
123443,89,97,1
59262,64,78,0
129901,90,97,1
48289,61,74,0
146503,93,98,1
47571,56,79,0
138836,92,99,1
51462,58,73,0
129735,90,98,1
31199,48,66,0
106564,85,97,1
35972,50,68,0
135180,91,99,1
40958,52,74,0
115499,86,94,1
50650,60,74,0
133394,88,98,1
45543,54,77,0
116271,87,98,1
47303,52,77,0
130269,91,97,1
38519,53,72,0
136181,91,97,1
46473,54,75,0
134757,90,98,1
43921,51,77,0
136739,93,98,1
52440,53,78,0
123843,90,97,1
47166,56,75,0
131111,90,98,1
47516,57,80,0
124320,89,99,1
59056,62,79,0
127499,90,96,1
40775,54,71,0
125325,91,96,1
66737,63,83,0
123176,87,97,1
51492,56,82,0
135649,92,99,1
48255,55,79,0
132154,90,97,1
31111,47,67,0
122388,89,98,1
41068,49,75,0
130091,91,97,1
43314,51,76,0
139915,95,99,1
57773,58,79,0
142580,95,98,1
46325,53,82,0
127460,89,98,1
45257,54,73,0
127489,91,98,1
48535,52,76,0
108873,81,98,1
40597,49,76,0
116031,84,96,1
46967,59,77,0
120541,88,98,1
50847,55,78,0
128270,90,97,1
48523,57,79,0
116754,86,97,1
50975,58,78,0
104183,83,96,1
41046,52,75,0
127170,89,95,1
48985,58,80,0
128731,90,96,1
43948,55,74,0
106835,85,94,1
55609,61,77,0
121384,89,97,1
50943,54,79,0
124414,89,97,1
46114,56,78,0
111985,86,98,1
51751,57,75,0
122175,87,96,1
35779,50,67,0
152725,97,99,1
47292,58,73,0
118415,87,97,1
57799,64,81,0
139464,91,98,1
38147,55,65,0
128062,89,98,1
49056,54,78,0
131868,90,98,1
39108,50,73,0
130371,86,99,1
48102,57,75,0
104426,81,99,1
46617,60,74,0
121147,87,97,1
37175,48,73,0
143457,92,99,1
55826,59,77,0
134897,92,97,1
51154,54,77,0
126552,87,97,1
33468,49,69,0
141896,91,99,1
34871,49,74,0
142790,93,99,1
51676,58,79,0
134703,93,98,1
50284,57,75,0
116082,86,99,1
50372,57,76,0
116448,85,96,1
45582,52,73,0
132035,87,99,1
43332,57,70,0
130423,89,99,1
42929,52,77,0
114134,83,96,1
44114,53,77,0
121019,84,97,1
49242,56,81,0
112061,84,97,1
52471,55,78,0
125890,88,98,1
37453,49,74,0
133037,92,98,1
52956,57,79,0
114028,82,97,1
50652,58,80,0
148289,94,99,1
46187,57,75,0
128317,88,96,1
38747,47,71,0
114283,84,97,1
45627,52,76,0
121094,85,98,1
48090,58,76,0
133111,91,99,1
45323,55,71,0
117517,87,99,1
51712,59,79,0
128495,90,99,1
47860,56,77,0
119528,88,97,1
53014,60,78,0
120177,86,99,1
54920,56,78,0
122723,86,98,1
39116,54,72,0
140264,92,99,1
56935,62,78,0
128505,89,98,1
41272,55,70,0
135322,89,99,1
48614,56,74,0
134081,89,98,1
41127,50,74,0
123683,90,98,1
40635,52,75,0
120550,90,97,1
49591,59,77,0
120696,86,98,1
53018,60,77,0
123282,87,96,1
82771,71,87,0
